county,State,per capita income,median household income,median family income,population,number of households,County_State,Counts,website_count,OrganicYN,BakedgoodsYN,CheeseYN,CraftsYN,FlowersYN,EggsYN,SeafoodYN,HerbsYN,VegetablesYN,HoneyYN,JamsYN,MapleYN,MeatYN,NurseryYN,NutsYN,PlantsYN,PoultryYN,PreparedYN,SoapYN,TreesYN,WineYN,CoffeeYN,BeansYN,FruitsYN,GrainsYN,JuicesYN,MushroomsYN,PetFoodYN,TofuYN,WildHarvestedYN
Westmoreland,Pennsylvania,"$28,051 ","$50,736 ","$65,027 ","364,090","152,109","Westmoreland, Pennsylvania",11,3,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0
Mono,California,"$28,046 ","$61,757 ","$72,237 ","14,217","5,268","Mono, California",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tazewell,Illinois,"$28,037 ","$56,067 ","$68,994 ","135,747","54,428","Tazewell, Illinois",4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guthrie,Iowa,"$28,030 ","$50,609 ","$62,036 ","10,843","4,641","Guthrie, Iowa",3,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lac qui Parle,Minnesota,"$28,014 ","$48,468 ","$60,873 ","7,184","3,074","Lac qui Parle, Minnesota",2,0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa,Ohio,"$27,979 ","$53,202 ","$65,311 ","41,372","17,614","Ottawa, Ohio",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erie,New York,"$27,978 ","$50,653 ","$65,897 ","919,230","380,152","Erie, New York",21,13,9.0,15.0,12.0,8.0,14.0,11.0,1.0,12.0,15.0,13.0,14.0,12.0,12.0,1.0,4.0,11.0,10.0,13.0,13.0,5.0,8.0,8.0,1.0,13.0,2.0,3.0,5.0,8.0,3.0,1.0
Putnam,West Virginia,"$27,957 ","$54,854 ","$65,900 ","56,033","21,391","Putnam, West Virginia",1,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan,Wyoming,"$27,948 ","$52,008 ","$67,673 ","29,376","12,381","Sheridan, Wyoming",3,2,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
Plymouth,Iowa,"$27,942 ","$58,888 ","$73,086 ","24,923","9,867","Plymouth, Iowa",3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,Kentucky,"$27,925 ","$46,959 ","$61,622 ","746,580","305,832","Jefferson, Kentucky",19,10,6.0,12.0,5.0,9.0,9.0,13.0,1.0,9.0,15.0,13.0,13.0,6.0,13.0,0.0,2.0,10.0,11.0,8.0,11.0,3.0,2.0,5.0,3.0,14.0,2.0,4.0,3.0,3.0,0.0,0.0
Lehigh,Pennsylvania,"$27,923 ","$54,923 ","$67,081 ","352,068","133,289","Lehigh, Pennsylvania",7,6,3.0,5.0,4.0,1.0,5.0,5.0,0.0,3.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,4.0,0.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0
Chisago,Minnesota,"$27,914 ","$67,157 ","$75,513 ","53,691","19,569","Chisago, Minnesota",5,5,1.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Emmet,Iowa,"$27,908 ","$48,601 ","$63,310 ","10,141","4,119","Emmet, Iowa",1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Harris,Texas,"$27,899 ","$53,137 ","$60,594 ","4,182,285","1,434,694","Harris, Texas",16,15,8.0,13.0,5.0,8.0,11.0,12.0,11.0,13.0,13.0,12.0,12.0,6.0,12.0,1.0,12.0,10.0,11.0,13.0,12.0,7.0,10.0,11.0,3.0,11.0,5.0,10.0,5.0,11.0,1.0,8.0
Windham,Connecticut,"$27,893 ","$59,333 ","$74,484 ","118,115","44,018","Windham, Connecticut",6,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,Minnesota,"$27,883 ","$46,939 ","$61,548 ","10,825","4,982","Lake, Minnesota",1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,New Hampshire,"$27,874 ","$55,155 ","$70,026 ","76,896","30,458","Cheshire, New Hampshire",5,4,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Knox,Maine,"$27,865 ","$49,755 ","$60,581 ","39,694","16,941","Knox, Maine",4,3,3.0,3.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Wilson,Tennessee,"$27,864 ","$60,390 ","$70,024 ","116,948","42,800","Wilson, Tennessee",2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,Wyoming,"$27,824 ","$53,951 ","$64,802 ","28,557","11,801","Park, Wyoming",4,2,3.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Summit,Ohio,"$27,818 ","$49,669 ","$64,157 ","541,592","220,375","Summit, Ohio",20,18,7.0,17.0,7.0,12.0,11.0,11.0,1.0,11.0,17.0,15.0,16.0,11.0,9.0,0.0,7.0,10.0,8.0,11.0,14.0,1.0,2.0,13.0,3.0,17.0,4.0,5.0,4.0,5.0,0.0,1.0
Pembina,North Dakota,"$27,817 ","$49,846 ","$62,147 ","7,327","3,328","Pembina, North Dakota",3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Kentucky,"$27,802 ","$61,893 ","$71,455 ","48,149","17,989","Scott, Kentucky",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,Illinois,"$27,802 ","$61,720 ","$76,109 ","37,891","14,051","Clinton, Illinois",1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hancock,Maine,"$27,797 ","$47,460 ","$60,022 ","54,557","24,355","Hancock, Maine",11,6,8.0,8.0,7.0,8.0,7.0,7.0,2.0,7.0,8.0,5.0,8.0,6.0,8.0,1.0,0.0,5.0,6.0,7.0,8.0,0.0,4.0,3.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0
Kearney,Nebraska,"$27,796 ","$56,466 ","$62,308 ","6,518","2,621","Kearney, Nebraska",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sumner,Tennessee,"$27,795 ","$55,509 ","$64,806 ","163,724","60,835","Sumner, Tennessee",2,2,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Le Sueur,Minnesota,"$27,793 ","$58,922 ","$70,426 ","27,758","10,997","Le Sueur, Minnesota",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,Wisconsin,"$27,787 ","$53,119 ","$67,159 ","250,597","98,962","Brown, Wisconsin",7,4,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0
Yellowstone,Montana,"$27,761 ","$51,342 ","$65,486 ","150,156","61,023","Yellowstone, Montana",3,3,1.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Los Angeles,California,"$27,749 ","$55,909 ","$62,237 ","9,893,481","3,230,383","Los Angeles, California",128,93,63.0,63.0,33.0,31.0,53.0,59.0,31.0,55.0,68.0,66.0,50.0,4.0,23.0,2.0,55.0,36.0,25.0,64.0,36.0,34.0,3.0,31.0,14.0,62.0,11.0,43.0,22.0,3.0,8.0,8.0
Yolo,California,"$27,730 ","$55,918 ","$74,687 ","202,288","70,347","Yolo, California",6,6,6.0,5.0,2.0,2.0,5.0,5.0,3.0,6.0,6.0,6.0,5.0,1.0,3.0,0.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0
Douglas,Minnesota,"$27,716 ","$50,905 ","$65,133 ","36,264","15,757","Douglas, Minnesota",2,0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Richland,North Dakota,"$27,713 ","$53,759 ","$72,409 ","16,258","6,614","Richland, North Dakota",1,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenton,Kentucky,"$27,704 ","$54,270 ","$66,229 ","160,828","61,800","Kenton, Kentucky",3,2,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Pike,Pennsylvania,"$27,691 ","$59,340 ","$68,671 ","57,179","21,581","Pike, Pennsylvania",1,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Emmons,North Dakota,"$27,690 ","$38,477 ","$48,816 ","3,521","1,634","Emmons, North Dakota",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,Iowa,"$27,685 ","$57,581 ","$68,812 ","15,606","6,092","Madison, Iowa",1,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,Washington,"$27,681 ","$58,225 ","$68,276 ","432,549","158,855","Clark, Washington",6,5,4.0,5.0,1.0,4.0,5.0,5.0,0.0,3.0,5.0,5.0,3.0,0.0,1.0,0.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0
Tulsa,Oklahoma,"$27,676 ","$48,181 ","$60,745 ","609,610","241,915","Tulsa, Oklahoma",9,6,3.0,4.0,5.0,6.0,4.0,5.0,1.0,5.0,6.0,6.0,6.0,0.0,6.0,2.0,3.0,6.0,3.0,6.0,6.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0
Butler,Nebraska,"$27,673 ","$50,247 ","$65,225 ","8,334","3,482","Butler, Nebraska",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Grand Traverse,Michigan,"$27,660 ","$51,766 ","$63,616 ","88,182","34,655","Grand Traverse, Michigan",6,4,3.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,0.0,4.0
Orange,Virginia,"$27,655 ","$60,287 ","$67,802 ","33,934","12,621","Orange, Virginia",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunnison,Colorado,"$27,654 ","$52,332 ","$67,047 ","15,421","6,293","Gunnison, Colorado",2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Polk,Nebraska,"$27,639 ","$52,848 ","$63,664 ","5,342","2,232","Polk, Nebraska",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffey,Kansas,"$27,627 ","$51,793 ","$66,026 ","8,516","3,501","Coffey, Kansas",2,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marathon,Wisconsin,"$27,607 ","$53,363 ","$64,950 ","134,497","53,079","Marathon, Wisconsin",7,4,1.0,3.0,4.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
Carbon,Montana,"$27,599 ","$47,831 ","$60,375 ","10,126","4,322","Carbon, Montana",1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,Iowa,"$27,593 ","$48,814 ","$60,989 ","16,800","6,919","Jefferson, Iowa",1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio Blanco,Colorado,"$27,586 ","$60,128 ","$75,978 ","6,770","2,638","Rio Blanco, Colorado",1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadian,Oklahoma,"$27,552 ","$63,629 ","$72,849 ","119,546","41,876","Canadian, Oklahoma",2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Deschutes,Oregon,"$27,524 ","$50,209 ","$61,488 ","160,565","64,568","Deschutes, Oregon",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Baton Rouge,Louisiana,"$27,505 ","$48,506 ","$63,558 ","441,901","167,422","East Baton Rouge, Louisiana",6,6,2.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,0.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,5.0,3.0,1.0,3.0,0.0,1.0,3.0
Sumter,Florida,"$27,504 ","$48,493 ","$58,068 ","98,409","43,507","Sumter, Florida",4,2,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence,South Dakota,"$27,498 ","$43,273 ","$66,387 ","24,305","10,597","Lawrence, South Dakota",4,4,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Carteret,North Carolina,"$27,496 ","$46,534 ","$57,328 ","67,198","29,158","Carteret, North Carolina",3,1,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
Cass,Missouri,"$27,463 ","$60,350 ","$68,480 ","99,875","37,307","Cass, Missouri",5,2,0.0,5.0,0.0,5.0,4.0,5.0,0.0,4.0,5.0,4.0,5.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierce,Wisconsin,"$27,462 ","$59,226 ","$74,867 ","40,870","15,069","Pierce, Wisconsin",2,1,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
McPherson,Kansas,"$27,462 ","$54,167 ","$68,039 ","29,297","11,540","McPherson, Kansas",3,0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ada,Idaho,"$27,452 ","$55,210 ","$67,641 ","401,673","151,600","Ada, Idaho",7,6,5.0,7.0,4.0,6.0,4.0,5.0,3.0,6.0,7.0,7.0,6.0,2.0,6.0,1.0,3.0,5.0,5.0,7.0,7.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,2.0
Murray,Minnesota,"$27,450 ","$52,160 ","$63,545 ","8,639","3,820","Murray, Minnesota",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inyo,California,"$27,441 ","$44,796 ","$70,185 ","18,482","7,873","Inyo, California",2,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bossier,Louisiana,"$27,429 ","$53,248 ","$67,961 ","119,947","45,776","Bossier, Louisiana",4,2,0.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0
Cuyahoga,Ohio,"$27,423 ","$43,804 ","$59,745 ","1,272,533","534,476","Cuyahoga, Ohio",28,24,12.0,22.0,16.0,15.0,17.0,16.0,0.0,21.0,23.0,22.0,21.0,18.0,13.0,1.0,6.0,16.0,15.0,12.0,19.0,10.0,1.0,13.0,6.0,22.0,10.0,11.0,6.0,4.0,2.0,3.0
Tompkins,New York,"$27,418 ","$51,393 ","$73,828 ","102,270","38,409","Tompkins, New York",6,6,5.0,4.0,1.0,3.0,3.0,4.0,0.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
Pulaski,Arkansas,"$27,414 ","$46,013 ","$58,688 ","386,106","153,720","Pulaski, Arkansas",10,5,6.0,7.0,4.0,5.0,7.0,6.0,1.0,6.0,7.0,6.0,7.0,0.0,6.0,0.0,3.0,6.0,3.0,4.0,5.0,3.0,1.0,5.0,4.0,7.0,2.0,3.0,2.0,4.0,0.0,2.0
Madison,Illinois,"$27,407 ","$53,633 ","$67,064 ","268,373","107,238","Madison, Illinois",4,4,1.0,4.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0
Franklin,Vermont,"$27,398 ","$56,240 ","$68,408 ","48,019","18,616","Franklin, Vermont",4,1,3.0,4.0,0.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0
Atlantic,New Jersey,"$27,391 ","$54,235 ","$66,619 ","274,960","101,091","Atlantic, New Jersey",5,4,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Culpeper,Virginia,"$27,379 ","$64,423 ","$75,328 ","47,330","16,039","Culpeper, Virginia",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rogers,Oklahoma,"$27,365 ","$58,525 ","$67,554 ","87,730","32,693","Rogers, Oklahoma",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartholomew,Indiana,"$27,359 ","$54,165 ","$64,614 ","77,930","30,041","Bartholomew, Indiana",4,3,2.0,3.0,2.0,2.0,4.0,3.0,0.0,3.0,4.0,2.0,3.0,2.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
Stutsman,North Dakota,"$27,351 ","$50,120 ","$65,032 ","21,046","8,873","Stutsman, North Dakota",3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,Florida,"$27,348 ","$47,439 ","$56,847 ","633,968","241,531","Lee, Florida",15,13,10.0,15.0,11.0,12.0,12.0,13.0,15.0,12.0,14.0,15.0,14.0,10.0,11.0,0.0,11.0,11.0,10.0,14.0,14.0,11.0,0.0,11.0,7.0,15.0,8.0,12.0,10.0,9.0,1.0,9.0
Amador,California,"$27,347 ","$53,684 ","$68,593 ","37,422","14,262","Amador, California",5,4,0.0,3.0,0.0,2.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
Dawson,Georgia,"$27,330 ","$53,525 ","$60,910 ","22,387","8,506","Dawson, Georgia",2,0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
Butler,Kansas,"$27,329 ","$56,454 ","$70,484 ","65,786","24,270","Butler, Kansas",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
